code,100,101,102,103,104,105,106,107,108,109,110,111,112
68000010,410113,413488,415414,417366,427145,434243,440840,447302,452824,457245,458847,462338,470683
68000020,372429,376217,378918,381449,389782,396453,405216,412063,417380,422471,422529,423722,431255
68000030,91979,91891,91961,91887,93343,94102,94451,94885,95550,95664,94870,94313,94607
68000040,0,0,155754,157200,161098,163959,167639,170380,173049,175142,176757,177602,180032
68000050,143535,146586,149744,151354,155403,158802,161912,164384,166406,166497,166994,166300,167554
68000060,82136,82756,83586,84531,85565,87158,89281,90888,93078,93887,92172,85991,86634
68000070,138355,139605,140509,141998,145580,152817,157633,160591,162921,164398,166767,172274,178297
68000080,176883,178889,179502,181431,187420,192922,198074,202198,205974,209202,209665,209952,213403
68000090,114958,115146,115728,116211,118433,120201,121822,123175,124031,124408,124442,124973,126603
68000100,208561,209552,211146,212328,217887,221587,224219,226412,228436,228611,228203,227810,229686
68000110,48652,48276,48025,48058,48409,48772,48953,49110,49256,49333,49094,49205,49277
68000120,63602,63602,63602,63602,64785,65555,66472,67358,67956,69032,69995,73026,74521
68000130,10684,10626,10625,10913,10930,11192,11505,12026,12176,12354,12656,13053,13210