year,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
65000,18404,19774,20280,20746,21935,22175,23256,23525,23929,25072,24500,27064,30533
63000,15398,15988,16579,16379,17177,17106,17982,17467,17902,18026,17212,18623,20783
68000,10183,10878,10977,10972,11854,11600,12637,12620,12838,13198,13180,14158,15791
66000,14340,14915,15017,15138,15968,16070,16921,16904,17090,17717,17506,18446,20750
67000,13206,13941,13871,14021,14390,14331,15234,14996,15195,15470,15327,15919,17908
64000,18001,18845,18945,19277,20282,20508,21365,21368,21496,21821,21712,22926,25462
10002,3368,3490,3476,3531,3775,3733,3787,4007,3903,3991,3886,4139,4629
10004,3383,3458,3390,3515,3639,3519,3797,3641,3727,3779,3797,3960,4582
10005,4302,4525,4532,4670,4834,4747,5089,4971,4995,5065,5010,5356,5984
10007,8934,9349,9370,9298,9764,10039,10384,10461,10511,10576,10392,10849,12567
10008,4254,4578,4542,4617,4746,4785,4951,4890,4838,4918,4737,5107,5837
10009,6279,6478,6680,6825,7115,6866,7232,7324,7264,7217,7084,7336,8579
10010,4970,5045,5087,5127,5591,5423,5734,5541,5537,5568,5426,5772,6484
10013,7410,7873,7727,7604,8099,8114,8544,8613,8245,8393,8396,8577,9658
10014,2276,2329,2425,2357,2501,2421,2582,2379,2305,2421,2306,2406,2669
10015,3099,3137,3167,3224,3322,3276,3413,3290,3516,3280,3172,3229,3731
10016,848,910,828,786,911,919,974,847,909,944,957,991,1069
10017,2665,2725,2681,2830,2867,2829,2940,2914,3031,3148,3015,3245,3798
10018,2180,2339,2367,2533,2541,2569,2715,2661,2642,2789,2603,2740,3063
10020,1743,1739,1700,1851,1920,2024,2065,1991,2102,2049,2098,2073,2374
09020,481,550,571,544,635,750,748,768,745,796,769,747,900
09007,48,49,39,63,63,54,55,64,64,58,71,69,79